,en,pt-PT,pt-BR,es,de,zh,fr,ru
LANGUAGE,LANGUAGE,LINGUAGEM,LINGUAGEM,IDIOMA,SPRACHE,语言,LANGUE,ЯЗЫК
GRAPHICS,GRAPHICS,GRÁFICOS,GRÁFICOS,GRÁFICOS,GRAFIK,图形,GRAPHIQUE,ГРАФИКА
PRESET,PRESET,PREDEFINIDO,PREDEFINIDO,PROGRAMAR,VOREINSTELLUNG,预设,PRÉRÉGLAGE,ПРЕДУСТАНОВКА
RENDER DISTANCE,RENDER DISTANCE,DISTÂNCIA DE RENDERIZAÇÃO,DISTÂNCIA DE RENDERIZAÇÃO,DISTANCIA DE RENDERIZADO,Renderdistanz,渲染距离,DISTANCE DE RENDU,Расстояние визуализации
TERRRAIN QUALITY,TERRRAIN QUALITY,QUALIDADE DO TERRENO,QUALIDADE DO TERRENO,CALIDAD DEL TERRENO,GELÄNDEQUALITÄT,地形质量,QUALITÉ DU TERRAIN,КАЧЕСТВО МЕСТНОСТИ
ENVINROMENT QUALITY,ENVINROMENT QUALITY,QUALIDADE AMBIENTAL,QUALIDADE AMBIENTAL,CALIDAD AMBIENTAL,UMWELTQUALITÄT,环境质量,QUALITÉ DE L'ENVIRONNEMENT,КАЧЕСТВО ОКРУЖАЮЩЕЙ СРЕДЫ
VEGETATION QUALITY,VEGETATION QUALITY,QUALIDADE DA VEGETAÇÃO,QUALIDADE DA VEGETAÇÃO,CALIDAD DE LA VEGETACIÓN,VEGETATIONSQUALITÄT,植被质量,QUALITÉ DE LA VÉGÉTATION,КАЧЕСТВО РАСТИТЕЛЬНОСТИ
TEXTURES QUALITY,TEXTURES QUALITY,QUALIDADE DAS TEXTURAS,QUALIDADE DAS TEXTURAS,CALIDAD DE LAS TEXTURAS,TEXTURENQUALITÄT,纹理质量,QUALITÉ DES TEXTURES,КАЧЕСТВО ТЕКСТУР
EFFECTS QUALITY,EFFECTS QUALITY,QUALIDADE DOS EFEITOS,QUALIDADE DOS EFEITOS,CALIDAD DE LOS EFECTOS,EFFEKTQUALITÄT,效果质量,QUALITÉ DES EFFETS,КАЧЕСТВО ЭФФЕКТОВ
PARTICLES QUALITY,PARTICLES QUALITY,QUALIDADE DAS PARTÍCULAS,QUALIDADE DAS PARTÍCULAS,CALIDAD DE LAS PARTÍCULAS,PARTIKELQUALITÄT,颗粒质量,QUALITÉ DES PARTICULES,КАЧЕСТВО ЧАСТИЦ
WINDOWED,WINDOWED,COM JANELA,COM JANELA,VENTANA,FENSTER,窗口,FENÊTRE,ОКОННОЕ
WINDOWED FULLSCREEN,WINDOWED FULLSCREEN,JANELA TELA CHEIA,JANELA TELA CHEIA,PANTALLA COMPLETA CON VENTANA,VOLLBILD-FENSTER,窗口全屏,FENÊTRE PLEIN ÉCRAN,ОКОННЫЙ ПОЛНОЭКРАННЫЙ РЕЖИМ
FULLSCREEN,FULLSCREEN,TELA CHEIA,TELA CHEIA,PANTALLA COMPLETA,VOLLBILD,全屏,PLEIN ÉCRAN,ПОЛНОЭКРАННЫЙ
UNLIMITED,UNLIMITED,ILIMITADO,ILIMITADO,ILIMITADO,UNBEGRENZT,无限,ILLIMITÉ,НЕОГРАНИЧЕННЫЙ
DISABLED,DISABLED,DESABILITADO,DESABILITADO,DESACTIVADO,DEAKTIVIERT,已禁用,DÉSACTIVÉ,НЕПОЛНОЦЕННЫЙ
ENABLED,ENABLED,HABILITADO,HABILITADO,ACTIVADO,ERMÖGLICHT,已启用,ACTIVÉ,ВКЛЮЧЕНО
PERFORMANCE,PERFORMANCE,DESEMPENHO,DESEMPENHO,ACTUACIÓN,LEISTUNG,表现,PERFORMANCE,ПРОИЗВОДИТЕЛЬНОСТЬ
BALANCED,BALANCED,EQUILIBRADO,EQUILIBRADO,EQUILIBRADO,AUSGEWOGEN,均衡,ÉQUILIBRÉ,СБАЛАНСИРОВАННЫЙ
QUALITY,QUALITY,QUALIDADE,QUALIDADE,CALIDAD,QUALITÄT,质量,QUALITÉ,КАЧЕСТВО
LOW,LOW,BAIXO,BAIXO,BAJO,NIEDRIG,低的,FAIBLE,НИЗКИЙ
HIGH,HIGH,ALTO,ALTO,ALTO,HOCH,高的,HAUT,ВЫСОКИЙ
EPIC,EPIC,ÉPICO,ÉPICO,ÉPICO,EPOS,史诗,ÉPIQUE,ЭПИЧЕСКИЙ
AUTOJUMP,AUTOJUMP,SALTO AUTOMÁTICO,SALTO AUTOMÁTICO,SALTO AUTOMÁTICO,AUTOJUMP,自动跳跃,SAUT AUTOMATIQUE,АВТОПРЫЖОК
CAMERA TRICKNESS,CAMERA TRICKNESS,TRUQUE DE CÂMERA,TRUQUE DE CÂMERA,TRUCOS DE CÁMARA,KAMERA-TRICKS,镜头技巧,ASTUCE DE CAMÉRA,Хитрости камеры
DYNAMIC FOV,DYNAMIC FOV,FOV DINÂMICO,FOV DINÂMICO,CAMPO DE VISIÓN DINÁMICO,DYNAMISCHES FOV,动态视野,Champ de vision dynamique,ДИНАМИЧЕСКОЕ ПОЛЕ ОБЗОРА
REDUCED,REDUCED,REDUZIDO,REDUZIDO,REDUCIDO,REDUZIERT,减少,RÉDUIT,УМЕНЬШЕННЫЙ
GENERAL VOLUME,GENERAL VOLUME,VOLUME GERAL,VOLUME GERAL,VOLUMEN GENERAL,ALLGEMEINE LAUTSTÄRKE,总卷,VOLUME GÉNÉRAL,ОБЩИЙ ОБЪЕМ
MUSICS VOLUME,MUSICS VOLUME,VOLUME DE MÚSICAS,VOLUME DE MÚSICAS,VOLUMEN DE LA MÚSICA,MUSIK-LAUTSTÄRKE,音乐音量,VOLUME DE LA MUSIQUE,ГРОМКОСТЬ МУЗЫКИ
ENEMYS VOLUME,ENEMYS VOLUME,VOLUME DE INIMIGOS,VOLUME DE INIMIGOS,VOLUMEN DE ENEMIGOS,Feindesvolumen,敌人音量,VOLUME ENNEMIS,ОБЪЕМ ВРАГОВ
VEHICLES VOLUME,VEHICLES VOLUME,VOLUME DE VEÍCULOS,VOLUME DE VEÍCULOS,VOLUMEN DE VEHÍCULOS,FAHRZEUGBAND,车辆数量,VOLUME DES VÉHICULES,ОБЪЕМ ТРАНСПОРТНЫХ СРЕДСТВ
EFFECTS VOLUME,EFFECTS VOLUME,VOLUME DE EFEITOS,VOLUME DE EFEITOS,VOLUMEN DE EFECTOS,EFFEKTLAUTSTÄRKE,效果音量,VOLUME DES EFFETS,ГРОМКОСТЬ ЭФФЕКТОВ
MOVE FORWARD,MOVE FORWARD,SEGUIR EM FRENTE,SEGUIR EM FRENTE,AVANZAR,VORWÄRTSGEHEN,前进,AVANCER,ДВИГАТЬСЯ ВПЕРЕД
MOVE BACKWARD,MOVE BACKWARD,MOVER PARA TRÁS,MOVER PARA TRÁS,MOVERSE HACIA ATRÁS,RÜCKWÄRTS BEWEGEN,向后移动,RECULER,ДВИГАТЬСЯ НАЗАД
MOVE LEFT,MOVE LEFT,MOVER PARA A ESQUERDA,MOVER PARA A ESQUERDA,MOVERSE A LA IZQUIERDA,NACH LINKS BEWEGEN,向左移动,DÉPLACER À GAUCHE,ДВИГАТЬСЯ ВЛЕВО
MOVE RIGHT,MOVE RIGHT,MOVER PARA A DIREITA,MOVER PARA A DIREITA,MOVERSE A LA DERECHA,NACH RECHTS BEWEGEN,向右移动,DÉPLACEZ-VOUS À DROITE,ДВИГАТЬСЯ ВПРАВО
JUMP,JUMP,PULAR,PULAR,SALTAR,SPRINGEN,跳,SAUT,ПРЫЖОК
SPRING,SPRING,PRIMAVERA,PRIMAVERA,PRIMAVERA,FRÜHLING,春天,PRINTEMPS,ВЕСНА
CROUCH,CROUCH,AGACHE-SE,AGACHE-SE,AGACHARSE,HOCKEN,蹲伏,ACCROUPISSEMENT,КРАУЧ
RISE,RISE,ASCENDER,ASCENDER,ELEVAR,ERHEBEN,上升,AUGMENTER,РОСТ
COLLECT,COLLECT,COLECIONAR,COLECIONAR,RECOLECTAR,SAMMELN,收集,COLLECTER,СОБИРАТЬ
INTERACT,INTERACT,INTERAGIR,INTERAGIR,INTERACTUAR,INTERAGIEREN,相互影响,INTERAGIR,ВЗАИМОДЕЙСТВОВАТЬ
ACTION,ACTION,AÇÃO,AÇÃO,ACCIÓN,AKTION,行动,ACTION,ДЕЙСТВИЕ
DEFENSE,DEFENSE,DEFESA,DEFESA,DEFENSA,VERTEIDIGUNG,防御,DÉFENSE,ОБОРОНА
AIM,AIM,MIRAR,MIRAR,APUNTAR,ZIEL,目的,BUT,ЦЕЛЬ
LEFT HOTBAR SLOT,LEFT HOTBAR SLOT,ENTRADA PARA BARRA DE TEMPERATURA ESQUERDA,ENTRADA PARA BARRA DE TEMPERATURA ESQUERDA,RANURA DE LA BARRA DE ACCESO RÁPIDO IZQUIERDA,LINKER HOTBAR-SLOT,左侧快捷栏插槽,EMPLACEMENT DE LA BARRE DE RACCOURCIS GAUCHE,ЛЕВЫЙ СЛОТ HOTBAR
NEXT HOT SLOT,NEXT HOT SLOT,PRÓXIMO SLOT QUENTE,PRÓXIMO SLOT QUENTE,PRÓXIMA TRAGAMONEDAS CALIENTE,NÄCHSTER HEISSER SLOT,下一个热门老虎机,PROCHAIN ​​MACHINE À SOUS CHAUDE,СЛЕДУЮЩИЙ ГОРЯЧИЙ СЛОТ
INVENTORY,INVENTORY,INVENTÁRIO,INVENTÁRIO,INVENTARIO,INVENTAR,存货,INVENTAIRE,ИНВЕНТАРЬ
PAUSE,PAUSE,PAUSA,PAUSA,PAUSA,PAUSE,暂停,PAUSE,ПАУЗА
CHAT,CHAT,BATER PAPO,BATER PAPO,CHARLAR,CHAT,聊天,CHAT,ЧАТ
APPLY,APPLY,APLICAR,APLICAR,APLICAR,ANWENDEN,申请,APPLIQUER,ПРИМЕНЯТЬ
RECIPES,RECIPES,RECEITAS,RECEITAS,RECETAS,REZEPTE,食谱,RECETTES,РЕЦЕПТЫ
CRAFT TYPE,CRAFT TYPE,TIPO DE EMBARCAÇÃO,TIPO DE EMBARCAÇÃO,TIPO DE ARTESANÍA,FAHRZEUGTYP,工艺类型,TYPE D'EMBARCATION,ТИП РЕМЕСЛА
CRAFT QUANTITY,CRAFT QUANTITY,QUANTIDADE DE ARTESANATO,QUANTIDADE DE ARTESANATO,CANTIDAD DE ARTESANÍA,HANDWERKSMENGE,工艺数量,QUANTITÉ D'ARTISANAT,КОЛИЧЕСТВО ИЗДЕЛИЙ
RECIPE,RECIPE,RECEITA,RECEITA,RECETA,REZEPT,食谱,RECETTE,РЕЦЕПТ
CRAFT,CRAFT,ARTE,ARTE,ARTESANÍA,HANDWERK,工艺,ARTISANAT,РЕМЕСЛО
GUNS BENCH,GUNS BENCH,BANCO DE ARMAS,BANCO DE ARMAS,BANCO DE ARMAS,Waffenbank,枪支工作台,BANC D'ARMES À FEU,Оружейная скамья
DAMAGE,DAMAGE,DANO,DANO,DAÑO,SCHADEN,损害,DOMMAGE,ПОВРЕЖДАТЬ
FIRE CADENSE,FIRE CADENSE,CADENSE DE FOGO,CADENSE DE FOGO,CADENA DE FUEGO,FEUERKADENSE,火焰节奏,CADENCE DE FEU,ОГНЕННАЯ КАДЕНЦИЯ
RELOAD TIME,RELOAD TIME,TEMPO DE RECARGA,TEMPO DE RECARGA,TIEMPO DE RECARGA,NACHLADEZEIT,重新加载时间,TEMPS DE RECHARGEMENT,ВРЕМЯ ПЕРЕЗАРЯДКИ
MAX AMMO,MAX AMMO,MÁXIMA MUNIÇÃO,MÁXIMA MUNIÇÃO,MUNICIÓN MÁXIMA,MAXIMALE MUNITION,最大弹药,MUNITIONS MAX,МАКСИМАЛЬНЫЙ КОЛИЧЕСТВО БОЕПРИПАСОВ
RECOIL,RECOIL,RECUO,RECUO,RETROCESO,RÜCKSTOSS,畏缩,RECUL,ОТДАЧА
PRECISION,PRECISION,PRECISÃO,PRECISÃO,PRECISIÓN,PRÄZISION,精确,PRÉCISION,ТОЧНОСТЬ
FIRE RANGE,FIRE RANGE,CAMPO DE FOGO,CAMPO DE FOGO,CAMPO DE TIRO,FEUERSTAND,射击场,CHAMP DE TIR,ОГНЕВОЙ ПОЛИГОН
MODIFICATIONS,MODIFICATIONS,MODIFICAÇÕES,MODIFICAÇÕES,MODIFICACIONES,ÄNDERUNGEN,修改,MODIFICATIONS,МОДИФИКАЦИИ
MOD NAME,MOD NAME,NOME DO MOD,NOME DO MOD,NOMBRE DEL MOD,MOD-NAME,模组名称,NOM DU MOD,ИМЯ МОДА
MODIFY,MODIFY,MODIFICAR,MODIFICAR,MODIFICAR,ÄNDERN,调整,MODIFIER,ИЗМЕНИТЬ
PAUSE MENU,PAUSE MENU,MENU DE PAUSA,MENU DE PAUSA,MENÚ DE PAUSA,PAUSEMENÜ,暂停菜单,MENU PAUSE,МЕНЮ ПАУЗЫ
RESUME,RESUME,RETOMAR,RETOMAR,REANUDAR,WIEDER AUFNEHMEN,恢复,CONTINUER,РЕЗЮМЕ
SAVE,SAVE,SALVAR,SALVAR,AHORRAR,SPEICHERN,节省,SAUVEGARDER,СОХРАНЯТЬ
MENU,MENU,MENU,MENU,MENÚ,SPEISEKARTE,菜单,MENU,МЕНЮ
QUIT,QUIT,DESISTIR,DESISTIR,ABANDONAR,AUFHÖREN,辞职,QUITTER,ПОКИДАТЬ
TIP,TIP,DICA,DICA,CONSEJO,TIPP,提示,CONSEIL,КОНЧИК
Closed Alpha,Closed Alpha,Alfa Fechado,Alfa Fechado,Alfa Cerrado,Geschlossene Alpha,封闭 Alpha 测试,Alpha fermé,Закрытая Альфа
"Created by patoLizo, 2025","Created by patoLizo, 2025","Criado por patoLizo, 2025","Criado por patoLizo, 2025","Creado por patoLizo, 2025","Erstellt von patoLizo, 2025",由 patoLizo 创建，2025 年,"Créé par patoLizo, 2025","Создано patoLizo, 2025"
Tip,Tip,Dica,Dica,Consejo,Tipp,提示,Conseil,Кончик
Branch,Branch,Filial,Filial,Rama,Zweig,分支,Bifurquer,Ветвь
A item,A item,Um item,Um item,Un artículo,Ein Artikel,一个项目,Un article,Предмет
Resource,Resource,Recurso,Recurso,Recurso,Ressource,资源,Ressource,Ресурс
Weapon,Weapon,Arma,Arma,Arma,Waffe,武器,Arme,Оружие
Equipable,Equipable,Equipável,Equipável,Equipable,Ausrüstbar,Equipable,Équipable,Оборудуемый
Consumable,Consumable,Consumível,Consumível,Consumible,Verbrauchsmaterial,消耗品,Consommable,Расходный материал
Debug Axe,Debug Axe,Depurar Machado,Depurar Machado,Hacha de depuración,Debug-Axt,调试斧,Déboguer Axe,Отладочный топор
Debug Body Plate,Debug Body Plate,Placa de corpo de depuração,Placa de corpo de depuração,Placa de carrocería de depuración,Debug-Körperplatte,调试车身板,Plaque de carrosserie de débogage,Отладочная пластина корпуса
Debug Boots,Debug Boots,Botas de depuração,Botas de depuração,Botas de depuración,Debug-Boots,调试启动,Bottes de débogage,Отладочные ботинки
Debug Boots,Debug Boots,Botas de depuração,Botas de depuração,Botas de depuración,Debug-Boots,调试启动,Bottes de débogage,Отладочные ботинки
Debug Hammer,Debug Hammer,Martelo de Depuração,Martelo de Depuração,Martillo de depuración,Debug Hammer,调试锤,Marteau de débogage,Отладочный молоток
Debug Healmet,Debug Healmet,Depurar Healmet,Depurar Healmet,Depuración de Healmet,Debug-Heilung,调试 Healmet,Casque de débogage,Отладка Healmet
Debug Knight,Debug Knight,Cavaleiro de Depuração,Cavaleiro de Depuração,Caballero de depuración,Debug-Ritter,调试骑士,Chevalier de débogage,Отладочный рыцарь
Debug Leg Armor,Debug Leg Armor,Depurar armadura de perna,Depurar armadura de perna,Depurar armadura de pierna,Debug-Beinpanzer,调试腿甲,Armure de jambe de débogage,Отладка брони для ног
Debug Material,Debug Material,Material de depuração,Material de depuração,Material de depuración,Debug-Material,调试材料,Matériel de débogage,Отладочный материал
Debug Pickaxe,Debug Pickaxe,Picareta de Depuração,Picareta de Depuração,Pico de depuración,Debug-Spitzhacke,调试镐,Pioche de débogage,Отладочная кирка
Debug Shovel,Debug Shovel,Pá de depuração,Pá de depuração,Pala de depuración,Debug-Schaufel,调试铲,Pelle de débogage,Отладочная лопата
Gun Core 0,Gun Core 0,Núcleo de Arma 0,Núcleo de Arma 0,Núcleo de arma 0,Waffenkern 0,枪芯 0,Noyau d'arme 0,Gun Core 0
A gun core to make your gun,A gun core to make your gun,Um núcleo de arma para fazer sua arma,Um núcleo de arma para fazer sua arma,Un núcleo de arma para hacer tu arma,"Ein Waffenkern, um Ihre Waffe herzustellen",制造枪支的枪芯,Un noyau d'arme pour fabriquer votre arme,Ядро для изготовления вашего оружия
Gun Core 1,Gun Core 1,Núcleo de Arma 1,Núcleo de Arma 1,Núcleo de arma 1,Waffenkern 1,枪芯1,Noyau de pistolet 1,Gun Core 1
Gun Core 2,Gun Core 2,Núcleo de Arma 2,Núcleo de Arma 2,Núcleo de arma 2,Waffenkern 2,枪核2,Gun Core 2,Gun Core 2
Gun Core 3,Gun Core 3,Núcleo de Arma 3,Núcleo de Arma 3,Núcleo de arma 3,Waffenkern 3,枪核3,Noyau de pistolet 3,Gun Core 3
Item Name,Item Name,Nome do item,Nome do item,Nombre del artículo,Artikelname,项目名称,Nom de l'article,Название предмета
Metal,Metal,Metal,Metal,Metal,Metall,金属,Métal,Металл
A metal in good state,A metal in good state,Um metal em bom estado,Um metal em bom estado,Un metal en buen estado,Ein Metall in gutem Zustand,状况良好的金属,Un métal en bon état,Металл в хорошем состоянии
Rope,Rope,Corda,Corda,Soga,Seil,绳索,Corde,Веревка
Scrap metal only,Scrap metal only,Somente sucata,Somente sucata,Solo chatarra,Nur Altmetall,仅限废金属,Ferraille uniquement,Только металлолом
Scrap,Scrap,Sucata,Sucata,Chatarra,Schrott,废料,Ferraille,Лом
Stick,Stick,Grudar,Grudar,Palo,Stock,戳,Bâton,Палка
Stone,Stone,Pedra,Pedra,Piedra,Stein,石头,Pierre,Камень
