,en,pt,pt_BR,de,zh,fr,ru
"Sleep, eat and hydrate so you don't get sick on your adventures.","Sleep, eat and hydrate so you don't get sick on your adventures.","Durma, coma e hidrate-se para não ficar doente em suas aventuras.","Durma, coma e hidrate-se para não ficar doente em suas aventuras.","Schlafen, essen und trinken Sie genug, damit Ihnen bei Ihren Abenteuern nicht schlecht wird.",睡觉、吃饭、补充水分，这样你在冒险途中就不会生病。,"Dormez, mangez et hydratez-vous pour ne pas tomber malade pendant vos aventures.","Спите, ешьте и пейте много жидкости, чтобы не заболеть во время приключений."
This game was made by a random guy looking for a game that gives freedom to the player.,This game was made by a random guy looking for a game that gives freedom to the player.,Este jogo foi feito por um cara aleatório que procurava um jogo que desse liberdade ao jogador.,Este jogo foi feito por um cara aleatório que procurava um jogo que desse liberdade ao jogador.,"Dieses Spiel wurde von einem zufälligen Typen entwickelt, der nach einem Spiel suchte, das dem Spieler Freiheit lässt.",这个游戏是由一个随机的人制作的，他正在寻找一款可以给予玩家自由的游戏。,Ce jeu a été créé par un gars au hasard à la recherche d'un jeu qui donne la liberté au joueur.,"Эту игру создал случайный парень, который искал игру, дающую игроку свободу."
Video,Video,Vídeo,Vídeo,Video,视频,Vidéo,Видео
WINDOW,WINDOW,JANELA,JANELA,FENSTER,窗户,FENÊTRE,ОКНО
WINDOW MODE,WINDOW MODE,MODO JANELA,MODO JANELA,FENSTERMODUS,窗口模式,MODE FENÊTRE,ОКОННЫЙ РЕЖИМ
FRAME RATE,FRAME RATE,TAXA DE QUADROS,TAXA DE QUADROS,BILDRATE,帧率,FRÉQUENCE D'IMAGE,ЧАСТОТА КАДРОВ
V-SYNC,V-SYNC,V-SYNC,V-SYNC,V-SYNC,垂直同步,Synchronisation verticale,V-SYNC
FSR,FSR,FSR,FSR,FSR,频带宽度,FSR,ФСР
LANGUAGE,LANGUAGE,LINGUAGEM,LINGUAGEM,SPRACHE,语言,LANGUE,ЯЗЫК
GRAPHICS,GRAPHICS,GRÁFICOS,GRÁFICOS,GRAFIK,图形,GRAPHIQUE,ГРАФИКА
PRESET,PRESET,PREDEFINIDO,PREDEFINIDO,VOREINSTELLUNG,预设,PRÉRÉGLAGE,ПРЕДУСТАНОВКА
RENDER DISTANCE,RENDER DISTANCE,DISTÂNCIA DE RENDERIZAÇÃO,DISTÂNCIA DE RENDERIZAÇÃO,Renderdistanz,渲染距离,DISTANCE DE RENDU,Расстояние визуализации
TERRRAIN QUALITY,TERRRAIN QUALITY,QUALIDADE DO TERRENO,QUALIDADE DO TERRENO,GELÄNDEQUALITÄT,地形质量,QUALITÉ DU TERRAIN,КАЧЕСТВО МЕСТНОСТИ
ENVINROMENT QUALITY,ENVINROMENT QUALITY,QUALIDADE AMBIENTAL,QUALIDADE AMBIENTAL,UMWELTQUALITÄT,环境质量,QUALITÉ DE L'ENVIRONNEMENT,КАЧЕСТВО ОКРУЖАЮЩЕЙ СРЕДЫ
VEGETATION QUALITY,VEGETATION QUALITY,QUALIDADE DA VEGETAÇÃO,QUALIDADE DA VEGETAÇÃO,VEGETATIONSQUALITÄT,植被质量,QUALITÉ DE LA VÉGÉTATION,КАЧЕСТВО РАСТИТЕЛЬНОСТИ
TEXTURES QUALITY,TEXTURES QUALITY,QUALIDADE DAS TEXTURAS,QUALIDADE DAS TEXTURAS,TEXTURENQUALITÄT,纹理质量,QUALITÉ DES TEXTURES,КАЧЕСТВО ТЕКСТУР
EFFECTS QUALITY,EFFECTS QUALITY,QUALIDADE DOS EFEITOS,QUALIDADE DOS EFEITOS,EFFEKTQUALITÄT,效果质量,QUALITÉ DES EFFETS,КАЧЕСТВО ЭФФЕКТОВ
PARTICLES QUALITY,PARTICLES QUALITY,QUALIDADE DAS PARTÍCULAS,QUALIDADE DAS PARTÍCULAS,PARTIKELQUALITÄT,颗粒质量,QUALITÉ DES PARTICULES,КАЧЕСТВО ЧАСТИЦ
WINDOWED,WINDOWED,COM JANELA,COM JANELA,FENSTER,窗口,FENÊTRE,ОКОННОЕ
WINDOWED FULLSCREEN,WINDOWED FULLSCREEN,JANELA TELA CHEIA,JANELA TELA CHEIA,VOLLBILD-FENSTER,窗口全屏,FENÊTRE PLEIN ÉCRAN,ОКОННЫЙ ПОЛНОЭКРАННЫЙ РЕЖИМ
FULLSCREEN,FULLSCREEN,TELA CHEIA,TELA CHEIA,VOLLBILD,全屏,PLEIN ÉCRAN,ПОЛНОЭКРАННЫЙ
UNLIMITED,UNLIMITED,ILIMITADO,ILIMITADO,UNBEGRENZT,无限,ILLIMITÉ,НЕОГРАНИЧЕННЫЙ
DISABLED,DISABLED,DESABILITADO,DESABILITADO,DEAKTIVIERT,已禁用,DÉSACTIVÉ,НЕПОЛНОЦЕННЫЙ
ENABLED,ENABLED,HABILITADO,HABILITADO,ERMÖGLICHT,已启用,ACTIVÉ,ВКЛЮЧЕНО
PERFORMANCE,PERFORMANCE,DESEMPENHO,DESEMPENHO,LEISTUNG,表现,PERFORMANCE,ПРОИЗВОДИТЕЛЬНОСТЬ
BALANCED,BALANCED,EQUILIBRADO,EQUILIBRADO,AUSGEWOGEN,均衡,ÉQUILIBRÉ,СБАЛАНСИРОВАННЫЙ
QUALITY,QUALITY,QUALIDADE,QUALIDADE,QUALITÄT,质量,QUALITÉ,КАЧЕСТВО
LOW,LOW,BAIXO,BAIXO,NIEDRIG,低的,FAIBLE,НИЗКИЙ
HIGH,HIGH,ALTO,ALTO,HOCH,高的,HAUT,ВЫСОКИЙ
EPIC,EPIC,ÉPICO,ÉPICO,EPOS,史诗,ÉPIQUE,ЭПИЧЕСКИЙ
AUTOJUMP,AUTOJUMP,SALTO AUTOMÁTICO,SALTO AUTOMÁTICO,AUTOJUMP,自动跳跃,SAUT AUTOMATIQUE,АВТОПРЫЖОК
CAMERA TRICKNESS,CAMERA TRICKNESS,TRUQUE DE CÂMERA,TRUQUE DE CÂMERA,KAMERA-TRICKS,镜头技巧,ASTUCE DE CAMÉRA,Хитрости камеры
DYNAMIC FOV,DYNAMIC FOV,FOV DINÂMICO,FOV DINÂMICO,DYNAMISCHES FOV,动态视野,Champ de vision dynamique,ДИНАМИЧЕСКОЕ ПОЛЕ ОБЗОРА
REDUCED,REDUCED,REDUZIDO,REDUZIDO,REDUZIERT,减少,RÉDUIT,УМЕНЬШЕННЫЙ
GENERAL VOLUME,GENERAL VOLUME,VOLUME GERAL,VOLUME GERAL,ALLGEMEINE LAUTSTÄRKE,总卷,VOLUME GÉNÉRAL,ОБЩИЙ ОБЪЕМ
MUSICS VOLUME,MUSICS VOLUME,VOLUME DE MÚSICAS,VOLUME DE MÚSICAS,MUSIK-LAUTSTÄRKE,音乐音量,VOLUME DE LA MUSIQUE,ГРОМКОСТЬ МУЗЫКИ
ENEMYS VOLUME,ENEMYS VOLUME,VOLUME DE INIMIGOS,VOLUME DE INIMIGOS,Feindesvolumen,敌人音量,VOLUME ENNEMIS,ОБЪЕМ ВРАГОВ
VEHICLES VOLUME,VEHICLES VOLUME,VOLUME DE VEÍCULOS,VOLUME DE VEÍCULOS,FAHRZEUGBAND,车辆数量,VOLUME DES VÉHICULES,ОБЪЕМ ТРАНСПОРТНЫХ СРЕДСТВ
EFFECTS VOLUME,EFFECTS VOLUME,VOLUME DE EFEITOS,VOLUME DE EFEITOS,EFFEKTLAUTSTÄRKE,效果音量,VOLUME DES EFFETS,ГРОМКОСТЬ ЭФФЕКТОВ
MOVE FORWARD,MOVE FORWARD,SEGUIR EM FRENTE,SEGUIR EM FRENTE,VORWÄRTSGEHEN,前进,AVANCER,ДВИГАТЬСЯ ВПЕРЕД
MOVE BACKWARD,MOVE BACKWARD,MOVER PARA TRÁS,MOVER PARA TRÁS,RÜCKWÄRTS BEWEGEN,向后移动,RECULER,ДВИГАТЬСЯ НАЗАД
MOVE LEFT,MOVE LEFT,MOVER PARA A ESQUERDA,MOVER PARA A ESQUERDA,NACH LINKS BEWEGEN,向左移动,DÉPLACER À GAUCHE,ДВИГАТЬСЯ ВЛЕВО
MOVE RIGHT,MOVE RIGHT,MOVER PARA A DIREITA,MOVER PARA A DIREITA,NACH RECHTS BEWEGEN,向右移动,DÉPLACEZ-VOUS À DROITE,ДВИГАТЬСЯ ВПРАВО
JUMP,JUMP,PULAR,PULAR,SPRINGEN,跳,SAUT,ПРЫЖОК
SPRING,SPRING,PRIMAVERA,PRIMAVERA,FRÜHLING,春天,PRINTEMPS,ВЕСНА
CROUCH,CROUCH,AGACHE-SE,AGACHE-SE,HOCKEN,蹲伏,ACCROUPISSEMENT,КРАУЧ
RISE,RISE,ASCENDER,ASCENDER,ERHEBEN,上升,AUGMENTER,РОСТ
COLLECT,COLLECT,COLECIONAR,COLECIONAR,SAMMELN,收集,COLLECTER,СОБИРАТЬ
INTERACT,INTERACT,INTERAGIR,INTERAGIR,INTERAGIEREN,相互影响,INTERAGIR,ВЗАИМОДЕЙСТВОВАТЬ
ACTION,ACTION,AÇÃO,AÇÃO,AKTION,行动,ACTION,ДЕЙСТВИЕ
DEFENSE,DEFENSE,DEFESA,DEFESA,VERTEIDIGUNG,防御,DÉFENSE,ОБОРОНА
AIM,AIM,MIRAR,MIRAR,ZIEL,目的,BUT,ЦЕЛЬ
LEFT HOTBAR SLOT,LEFT HOTBAR SLOT,ENTRADA PARA BARRA DE TEMPERATURA ESQUERDA,ENTRADA PARA BARRA DE TEMPERATURA ESQUERDA,LINKER HOTBAR-SLOT,左侧快捷栏插槽,EMPLACEMENT DE LA BARRE DE RACCOURCIS GAUCHE,ЛЕВЫЙ СЛОТ HOTBAR
NEXT HOT SLOT,NEXT HOT SLOT,PRÓXIMO SLOT QUENTE,PRÓXIMO SLOT QUENTE,NÄCHSTER HEISSER SLOT,下一个热门老虎机,PROCHAIN ​​MACHINE À SOUS CHAUDE,СЛЕДУЮЩИЙ ГОРЯЧИЙ СЛОТ
INVENTORY,INVENTORY,INVENTÁRIO,INVENTÁRIO,INVENTAR,存货,INVENTAIRE,ИНВЕНТАРЬ
PAUSE,PAUSE,PAUSA,PAUSA,PAUSE,暂停,PAUSE,ПАУЗА
CHAT,CHAT,BATER PAPO,BATER PAPO,CHAT,聊天,CHAT,ЧАТ
APPLY,APPLY,APLICAR,APLICAR,ANWENDEN,申请,APPLIQUER,ПРИМЕНЯТЬ
RECIPES,RECIPES,RECEITAS,RECEITAS,REZEPTE,食谱,RECETTES,РЕЦЕПТЫ
CRAFT TYPE,CRAFT TYPE,TIPO DE EMBARCAÇÃO,TIPO DE EMBARCAÇÃO,FAHRZEUGTYP,工艺类型,TYPE D'EMBARCATION,ТИП РЕМЕСЛА
CRAFT QUANTITY,CRAFT QUANTITY,QUANTIDADE DE ARTESANATO,QUANTIDADE DE ARTESANATO,HANDWERKSMENGE,工艺数量,QUANTITÉ D'ARTISANAT,КОЛИЧЕСТВО ИЗДЕЛИЙ
RECIPE,RECIPE,RECEITA,RECEITA,REZEPT,食谱,RECETTE,РЕЦЕПТ
CRAFT,CRAFT,ARTE,ARTE,HANDWERK,工艺,ARTISANAT,РЕМЕСЛО
GUNS BENCH,GUNS BENCH,BANCO DE ARMAS,BANCO DE ARMAS,Waffenbank,枪支工作台,BANC D'ARMES À FEU,Оружейная скамья
DAMAGE,DAMAGE,DANO,DANO,SCHADEN,损害,DOMMAGE,ПОВРЕЖДАТЬ
FIRE CADENSE,FIRE CADENSE,CADENSE DE FOGO,CADENSE DE FOGO,FEUERKADENSE,火焰节奏,CADENCE DE FEU,ОГНЕННАЯ КАДЕНЦИЯ
RELOAD TIME,RELOAD TIME,TEMPO DE RECARGA,TEMPO DE RECARGA,NACHLADEZEIT,重新加载时间,TEMPS DE RECHARGEMENT,ВРЕМЯ ПЕРЕЗАРЯДКИ
MAX AMMO,MAX AMMO,MÁXIMA MUNIÇÃO,MÁXIMA MUNIÇÃO,MAXIMALE MUNITION,最大弹药,MUNITIONS MAX,МАКСИМАЛЬНЫЙ КОЛИЧЕСТВО БОЕПРИПАСОВ
RECOIL,RECOIL,RECUO,RECUO,RÜCKSTOSS,畏缩,RECUL,ОТДАЧА
PRECISION,PRECISION,PRECISÃO,PRECISÃO,PRÄZISION,精确,PRÉCISION,ТОЧНОСТЬ
FIRE RANGE,FIRE RANGE,Campo de tiro,Campo de tiro,FEUERSTAND,射击场,CHAMP DE TIR,ОГНЕВОЙ ПОЛИГОН
MODIFICATIONS,MODIFICATIONS,MODIFICAÇÕES,MODIFICAÇÕES,ÄNDERUNGEN,修改,MODIFICATIONS,МОДИФИКАЦИИ
MOD NAME,MOD NAME,NOME DO MOD,NOME DO MOD,MOD-NAME,模组名称,NOM DU MOD,ИМЯ МОДА
MODIFY,MODIFY,MODIFICAR,MODIFICAR,ÄNDERN,调整,MODIFIER,ИЗМЕНИТЬ
PAUSE MENU,PAUSE MENU,MENU DE PAUSA,MENU DE PAUSA,PAUSEMENÜ,暂停菜单,MENU PAUSE,МЕНЮ ПАУЗЫ
RESUME,RESUME,RETOMAR,RETOMAR,WIEDER AUFNEHMEN,恢复,CONTINUER,РЕЗЮМЕ
SAVE,SAVE,SALVAR,SALVAR,SPEICHERN,节省,SAUVEGARDER,СОХРАНЯТЬ
MENU,MENU,MENU,MENU,SPEISEKARTE,菜单,MENU,МЕНЮ
QUIT,QUIT,DESISTIR,DESISTIR,AUFHÖREN,辞职,QUITTER,ПОКИДАТЬ
